,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
250,JP Faulkner,129.8,0,0,14.53,202.0,527,406,JP Faulkner,26.0,20.27
251,JPR Scantlebury-Searles,133.33,0,0,16.67,2.0,8,6,JPR Scantlebury-Searles,1.0,8.0
252,JR Hazlewood,65.52,0,0,3.45,14.0,19,29,,0.0,19.0
253,JR Hopes,132.8,4,0,19.11,134.0,417,314,JR Hopes,16.0,26.06
254,JR Philippe,97.5,0,0,12.5,32.0,78,80,JR Philippe,4.0,19.5
255,Jaskaran Singh,72.73,0,0,0.0,6.0,8,11,Jaskaran Singh,1.0,8.0
256,Joginder Sharma,120.0,0,0,10.0,17.0,36,30,Joginder Sharma,4.0,9.0
257,K Goel,91.21,0,0,10.88,83.0,218,239,K Goel,15.0,14.53
258,K Gowtham,155.35,0,0,20.13,65.0,247,159,K Gowtham,18.0,13.72
259,K Kartikeya,69.23,0,0,7.69,5.0,9,13,K Kartikeya,2.0,4.5
260,K Rabada,97.89,0,0,11.58,74.0,186,190,K Rabada,16.0,11.62
261,K Upadhyay,133.33,0,0,11.11,5.0,12,9,,0.0,12.0
262,K Yadav,0.0,0,0,0.0,0.0,0,4,,0.0,0.0
263,KA Jamieson,118.18,0,0,14.55,22.0,65,55,KA Jamieson,4.0,16.25
264,KA Pollard,140.46,16,0,18.19,1035.0,3437,2447,KA Pollard,121.0,28.4
265,KAJ Roach,111.11,0,0,11.11,5.0,10,9,KAJ Roach,1.0,10.0
266,KB Arun Karthik,96.23,0,0,9.43,24.0,51,53,KB Arun Karthik,5.0,10.2
267,KC Cariappa,114.29,0,0,9.52,11.0,24,21,KC Cariappa,3.0,8.0
268,KC Sangakkara,118.47,10,0,15.59,650.0,1687,1424,KC Sangakkara,65.0,25.95
269,KD Karthik,129.35,20,0,16.55,1656.0,4517,3492,KD Karthik,175.0,25.81
270,KH Pandya,128.85,1,0,16.34,522.0,1514,1175,KH Pandya,71.0,21.32
271,KJ Abbott,162.5,0,0,12.5,4.0,13,8,KJ Abbott,1.0,13.0
272,KK Ahmed,14.29,0,0,0.0,1.0,1,7,KK Ahmed,5.0,0.2
273,KK Cooper,165.71,0,0,24.29,24.0,116,70,KK Cooper,9.0,12.89
274,KK Nair,125.5,10,0,16.78,522.0,1496,1192,KK Nair,63.0,23.75
275,KL Nagarkoti,64.71,0,0,2.94,16.0,22,34,KL Nagarkoti,4.0,5.5
276,KL Rahul,131.1,33,4,16.45,1518.0,4169,3180,KL Rahul,91.0,45.81
277,KM Asif,0.0,0,0,0.0,0.0,0,2,KM Asif,1.0,0.0
278,KM Jadhav,119.37,4,0,14.03,495.0,1208,1012,KM Jadhav,54.0,22.37
279,KMA Paul,69.23,0,0,7.69,7.0,18,26,KMA Paul,5.0,3.6
